Date,Year,Country,Area,Location,Activity,Fatal (Y/N),Species ,Sex,Age
2010-09-04,2010,United States,South Carolina,Coastal Site 11,Swimming,N,Nurse shark,Unknown,23
2010-12-06,2010,United States,Florida,Coastal Site 2,Surfing near shore,N,Unidentified reef shark,F,23
2020-05-06,2020,Réunion,Saint-Paul,Coastal Site 11,Bathing,Y,Nurse shark,M,20
1998-05-29,1998,New Zealand,South Island,Coastal Site 7,Fell overboard,Unknown,Unidentified reef shark,M,11
2015-06-09,2015,United States,California,Coastal Site 15,Snorkeling,N,Carcharhinus limbatus,M,
2009-04-16,2009,Australia,South Australia,Coastal Site 8,Surfing near shore,N,Carcharhinus limbatus,M,
2024-05-23,2024,Australia,New South Wales,Coastal Site 16,Swimming,N,Nurse shark,M,
2017-12-22,2017,Bahamas,New Providence,Coastal Site 2,Spearfishing,N,Nurse shark,M,27
2009-07-20,2009,Other,Coastal Region,Coastal Site 9,Free diving,N,Shark involvement not confirmed,M,31
1991-08-09,1991,Australia,Western Australia,Coastal Site 9,Fishing,N,Mako shark,M,33
2006-01-26,2006,Australia,Western Australia,Coastal Site 7,Spearfishing,N,Whitetip reef shark,F,
1994-07-12,1994,United States,South Carolina,Coastal Site 8,Playing in water,N,Blacktip shark,M,37
1999-03-17,1999,Australia,South Australia,Coastal Site 9,Spearfishing,Y,Galeocerdo cuvier,M,26
1999-12-22,1999,Egypt,Red Sea,Coastal Site 4,Unknown water activity,N,Bull shark,M,18
1996-01-17,1996,Australia,Western Australia,Coastal Site 9,Swimming,Y,3 m tiger shark,M,
1993-11-28,1993,Australia,Western Australia,Coastal Site 16,Surfing,N,Shark species not confirmed,M,50
2019-10-04,2019,United States,Hawaii,Coastal Site 17,Spearfishing,N,Blacktip shark,F,28
2024-06-04,2024,Réunion,Saint-Leu,Coastal Site 6,Swimming,N,Great hammerhead,M,
2022-06-24,2022,Australia,Queensland,Coastal Site 13,Bathing,N,Blue shark,F,56
2001-08-23,2001,Australia,New South Wales,Coastal Site 8,Swimming,N,Blue shark,F,
2012-11-14,2012,United States,Hawaii,Coastal Site 15,Unknown,N,Blacktip shark,M,10
1999-11-30,1999,South Africa,Western Cape,Coastal Site 15,Snorkeling,N,Reef shark,M,30
2014-07-16,2014,Bahamas,Grand Bahama,Coastal Site 12,Fishing,N,Blue shark,M,23
1994-11-16,1994,United States,South Carolina,Coastal Site 11,Fishing,N,Great white shark,F,
2013-01-02,2013,United States,Hawaii,Coastal Site 1,Surfing near shore,N,Carcharodon carcharias,M,12
2006-01-24,2006,Brazil,Rio de Janeiro,Coastal Site 2,Small boat,N,Tiger shark,M,11
2005-11-25,2005,Australia,New South Wales,Coastal Site 17,Bathing,N,Oceanic whitetip shark,M,
2001-03-04,2001,United States,North Carolina,Coastal Site 12,Snorkeling,N,Great hammerhead,M,5
2020-01-11,2020,Réunion,Saint-Leu,Coastal Site 14,Standing in shallow water,N,Carcharhinus limbatus,M,23
2013-05-10,2013,Other,Coastal Region,Coastal Site 15,Fishing,N,4 m white shark,M,
2023-03-10,2023,South Africa,Eastern Cape,Coastal Site 15,Bathing,N,Small shark,M,22
2017-01-03,2017,Other,Coastal Region,Coastal Site 18,Standing in shallow water,N,4 m white shark,M,
2012-11-06,2012,Réunion,Saint-Paul,Coastal Site 18,Surfing,N,Tiger shark,M,33
2011-07-06,2011,United States,California,Coastal Site 7,Net fishing,N,Blue shark,M,21
2023-05-07,2023,South Africa,Eastern Cape,Coastal Site 13,Wading,N,4 m white shark,M,
1992-07-19,1992,Bahamas,Exuma,Coastal Site 11,Small boat,N,Galeocerdo cuvier,F,14
2005-12-07,2005,Other,Coastal Region,Coastal Site 11,Bodyboarding,N,4 m white shark,Unknown,37
2021-01-21,2021,South Africa,KwaZulu-Natal,Coastal Site 14,Bathing,N,Blue shark,M,46
2007-07-19,2007,South Africa,KwaZulu-Natal,Coastal Site 17,Spearfishing,N,Unknown,M,26
2006-12-29,2006,Australia,Western Australia,Coastal Site 5,Bodyboarding,Y,Galeocerdo cuvier,M,26
2022-04-19,2022,Australia,South Australia,Coastal Site 3,Surfing near shore,N,Bull shark,M,
1994-12-07,1994,Réunion,Saint-Leu,Coastal Site 18,Wading,N,Lemon shark,Unknown,
2025-06-18,2025,United States,California,Coastal Site 1,Wading,N,Blacktip shark,F,
1998-11-23,1998,New Zealand,South Island,Coastal Site 4,Unknown,N,Unknown,M,24
1991-07-21,1991,New Zealand,North Island,Coastal Site 10,Snorkeling,N,Blue shark,M,36
2017-10-21,2017,Australia,New South Wales,Coastal Site 13,Surfing,N,Carcharhinus leucas,M,39
2019-12-04,2019,Australia,Western Australia,Coastal Site 5,Free diving,N,Carcharodon carcharias,F,37
2011-10-16,2011,Brazil,Bahia,Coastal Site 7,Unknown water activity,N,2 m bull shark,M,50
2023-09-15,2023,Australia,Western Australia,Coastal Site 13,Free diving,N,Caribbean reef shark,F,35
2022-06-24,2022,Australia,South Australia,Coastal Site 16,Unknown water activity,N,Shark involvement not confirmed,M,38
2012-07-16,2012,Other,Coastal Region,Coastal Site 10,Bodyboarding,Y,,F,9
2023-12-26,2023,Other,Coastal Region,Coastal Site 14,Wading,N,Blacktip shark,M,19
2000-03-28,2000,United States,Hawaii,Coastal Site 16,Bathing,N,Carcharhinus limbatus,M,25
2022-01-04,2022,Australia,Western Australia,Coastal Site 3,Scuba diving,N,Shark involvement not confirmed,M,25
2024-08-03,2024,United States,Florida,Coastal Site 12,Surfing near shore,N,Whitetip reef shark,F,12
2025-07-01,2025,Brazil,Bahia,Coastal Site 9,Bodyboarding,N,Blacktip shark,F,43
2018-08-30,2018,Egypt,Red Sea,Coastal Site 7,Surfing,N,Carcharodon carcharias,F,42
2014-07-12,2014,Australia,South Australia,Coastal Site 12,Snorkeling,N,Blacktip shark,M,43
2006-01-29,2006,Brazil,Bahia,Coastal Site 3,Scuba diving,N,Unknown,M,37
1997-12-24,1997,United States,California,Coastal Site 13,Bodyboarding,N,3 m tiger shark,F,36
2022-03-16,2022,South Africa,Western Cape,Coastal Site 17,Bodyboarding,N,Galeocerdo cuvier,M,36
2025-08-10,2025,South Africa,Western Cape,Coastal Site 18,Surfing,N,Blacktip shark,M,60
2023-01-07,2023,United States,Florida,Coastal Site 7,Wading,N,Nurse shark,M,
2014-07-26,2014,United States,California,Coastal Site 13,Swimming,N,Unknown,Unknown,
2008-03-19,2008,Brazil,Bahia,Coastal Site 2,Surfing near shore,N,2 m bull shark,M,44
2018-06-05,2018,South Africa,KwaZulu-Natal,Coastal Site 18,Fell overboard,N,Bull shark,M,
1999-09-09,1999,United States,South Carolina,Coastal Site 3,Surfing,N,Great hammerhead,M,15
1998-03-25,1998,Australia,Queensland,Coastal Site 14,Surfing near shore,Y,4 m white shark,M,32
1997-09-30,1997,United States,Hawaii,Coastal Site 13,Surfing near shore,N,Unknown,M,
2000-07-11,2000,South Africa,Eastern Cape,Coastal Site 2,Playing in water,N,Whitetip reef shark,F,20
2024-03-19,2024,New Zealand,North Island,Coastal Site 7,Unknown water activity,N,Lemon shark,M,27
1994-05-22,1994,United States,Florida,Coastal Site 15,Scuba diving,Y,Unknown,M,39
2017-01-30,2017,United States,South Carolina,Coastal Site 5,Surfing,N,Carcharhinus leucas,M,29
1995-12-15,1995,Australia,South Australia,Coastal Site 13,Bodyboarding,Y,Oceanic whitetip shark,M,56
1997-09-29,1997,Réunion,Saint-Leu,Coastal Site 18,Surfing near shore,N,Carcharhinus limbatus,Unknown,24
1998-06-12,1998,United States,South Carolina,Coastal Site 17,Swimming,N,Reef shark,M,21
2009-08-06,2009,South Africa,Eastern Cape,Coastal Site 10,Scuba diving,N,Oceanic whitetip shark,M,24
1996-11-05,1996,South Africa,Eastern Cape,Coastal Site 16,Surfing,N,Blue shark,M,38
2005-03-02,2005,South Africa,KwaZulu-Natal,Coastal Site 10,Surfing,N,Bull shark,F,25
1997-05-10,1997,South Africa,Eastern Cape,Coastal Site 11,Swimming,Y,Carcharodon carcharias,F,30
2012-09-04,2012,Réunion,Saint-Leu,Coastal Site 8,Bathing,N,Nurse shark,M,31
2023-07-15,2023,Australia,New South Wales,Coastal Site 5,Bathing,N,Carcharodon carcharias,M,24
2010-11-25,2010,Mexico,Jalisco,Coastal Site 11,Bathing,N,Great hammerhead,M,30
2002-03-20,2002,Brazil,Pernambuco,Coastal Site 13,Swimming,N,Blue shark,M,5
